attacktype1_txt,nkill,nwound,success
Bombing/Explosion,2,5,1
Armed Assault,0,1,1
Bombing/Explosion,1,1,1
Facility/Infrastructure Attack,0,0,0
Bombing/Explosion,,,1
Bombing/Explosion,3,8,1
Bombing/Explosion,1,6,1
Bombing/Explosion,1,6,1
Bombing/Explosion,2,10,1
Assassination,0,0,0
Armed Assault,11,,0
Armed Assault,0,0,0
Bombing/Explosion,0,0,0
Assassination,1,3,0
Armed Assault,1,1,1
Armed Assault,3,0,1
Bombing/Explosion,1,5,1
Hostage Taking (Kidnapping),0,,1
Armed Assault,3,2,1
Bombing/Explosion,1,1,1
Facility/Infrastructure Attack,0,0,1
Bombing/Explosion,1,1,1
Bombing/Explosion,0,3,1
Bombing/Explosion,0,1,1
Bombing/Explosion,0,1,1
Bombing/Explosion,0,1,1
Bombing/Explosion,0,0,1
Bombing/Explosion,0,0,1
Bombing/Explosion,0,0,1
Bombing/Explosion,0,0,1
Bombing/Explosion,0,0,1
Armed Assault,0,0,1
Armed Assault,0,0,1
Bombing/Explosion,1,8,1
Armed Assault,11,6,1
Bombing/Explosion,1,2,1
Bombing/Explosion,0,1,1
Armed Assault,1,0,1
Bombing/Explosion,0,0,0
Bombing/Explosion,4,2,1
Unknown,,,1
Bombing/Explosion,13,18,1
Armed Assault,3,3,1
Assassination,0,2,0
Armed Assault,0,2,1
Armed Assault,5,1,1
Armed Assault,2,0,1
Bombing/Explosion,0,0,0
Unknown,3,0,1
Hostage Taking (Kidnapping),0,0,1
Hostage Taking (Kidnapping),0,0,1
Bombing/Explosion,2,5,1
Bombing/Explosion,1,6,1
Bombing/Explosion,1,0,1
Bombing/Explosion,1,2,1
Bombing/Explosion,1,10,1
Armed Assault,10,8,1
Unknown,1,0,1
Bombing/Explosion,0,0,0
Armed Assault,0,1,1
Bombing/Explosion,1,1,1
Armed Assault,2,0,1
Bombing/Explosion,20,30,1
Unknown,21,25,1
Hostage Taking (Kidnapping),15,0,1
Armed Assault,0,1,1
Bombing/Explosion,4,,1
Armed Assault,0,0,1
Armed Assault,0,0,1
Armed Assault,0,0,1
Armed Assault,0,0,1
Armed Assault,6,1,1
Assassination,0,0,0
Armed Assault,15,5,1
Armed Assault,10,,1
Assassination,1,0,1
Bombing/Explosion,0,0,1
Armed Assault,0,1,1
Bombing/Explosion,0,0,0
Bombing/Explosion,0,0,1
Bombing/Explosion,1,0,1
Hostage Taking (Kidnapping),,,1
Assassination,1,0,1
Assassination,1,4,1
Bombing/Explosion,2,6,1
Bombing/Explosion,1,5,1
Bombing/Explosion,0,8,1
Assassination,0,2,0
Bombing/Explosion,0,2,1
Facility/Infrastructure Attack,0,0,1
Armed Assault,1,2,1
Bombing/Explosion,0,0,1
Hostage Taking (Kidnapping),13,0,1
Hostage Taking (Barricade Incident),14,1,1
Armed Assault,1,2,1
Armed Assault,0,1,1
Bombing/Explosion,0,0,1
Hostage Taking (Kidnapping),4,0,1
Hostage Taking (Kidnapping),,,1
Hostage Taking (Kidnapping),,,1
Unknown,10,1,1
Bombing/Explosion,0,2,1
Bombing/Explosion,0,0,1
Bombing/Explosion,0,0,0
Bombing/Explosion,5,10,1
Assassination,2,2,1
Armed Assault,,,1
Armed Assault,35,,1
Armed Assault,9,,1
Armed Assault,9,,1
Armed Assault,9,,1
Armed Assault,9,,1
Armed Assault,9,,1
Armed Assault,2,0,1
Armed Assault,1,0,1
Facility/Infrastructure Attack,0,0,1
Bombing/Explosion,0,2,1
Armed Assault,24,,1
Bombing/Explosion,0,4,1
Bombing/Explosion,0,0,0
Armed Assault,1,0,1
Armed Assault,1,0,1
Facility/Infrastructure Attack,0,0,1
Bombing/Explosion,0,0,1
Bombing/Explosion,0,0,1
Bombing/Explosion,0,0,1
Bombing/Explosion,0,0,1
Armed Assault,0,0,0
Bombing/Explosion,0,2,1
Bombing/Explosion,2,3,1
Assassination,0,0,0
Bombing/Explosion,1,7,1
Bombing/Explosion,1,0,1
Bombing/Explosion,3,6,1
Bombing/Explosion,3,8,1
Bombing/Explosion,3,7,1
Bombing/Explosion,0,0,0
Bombing/Explosion,1,2,1
Bombing/Explosion,4,25,1
Assassination,1,0,1
Bombing/Explosion,0,0,1
Bombing/Explosion,5,5,1
Hostage Taking (Kidnapping),1,,1
Hostage Taking (Kidnapping),,,1
Bombing/Explosion,0,0,1
Armed Assault,5,0,1
Assassination,1,0,1
Bombing/Explosion,4,8,1
Assassination,1,0,1
Bombing/Explosion,0,3,1
Unknown,0,1,1
Hostage Taking (Kidnapping),,,1
Unknown,4,6,1
Armed Assault,,,1
Assassination,1,4,1
Bombing/Explosion,0,6,1
Facility/Infrastructure Attack,0,0,1
Unknown,7,,1
Assassination,2,2,1
Bombing/Explosion,1,1,1
Armed Assault,2,0,1
Armed Assault,0,1,1
Bombing/Explosion,0,1,1
Hostage Taking (Kidnapping),2,0,1
Hostage Taking (Kidnapping),,,1
Armed Assault,0,0,1
Bombing/Explosion,0,1,1
Bombing/Explosion,0,0,1
Armed Assault,1,0,1
Armed Assault,,,1
Armed Assault,,,1
Armed Assault,,,1
Armed Assault,,,1
Armed Assault,2,3,1
Hostage Taking (Kidnapping),1,0,1
Bombing/Explosion,0,0,0
Bombing/Explosion,1,9,1
Bombing/Explosion,1,6,1
Bombing/Explosion,5,15,1
Bombing/Explosion,0,0,0
Hostage Taking (Kidnapping),,,1
Hostage Taking (Kidnapping),,,1
Hostage Taking (Kidnapping),,,1
Hostage Taking (Kidnapping),,,1
Hostage Taking (Kidnapping),,,1
Hostage Taking (Kidnapping),,,1
Unknown,10,13,1
Hostage Taking (Barricade Incident),3,0,1
Bombing/Explosion,7,3,1
Bombing/Explosion,0,4,1
Bombing/Explosion,0,0,1
Bombing/Explosion,0,0,1
Facility/Infrastructure Attack,0,0,1
Bombing/Explosion,2,5,1
Assassination,3,9,0
Bombing/Explosion,1,0,1
Bombing/Explosion,0,0,1
Bombing/Explosion,1,0,1
Bombing/Explosion,0,1,1
Bombing/Explosion,1,0,1
Bombing/Explosion,1,0,1
Armed Assault,11,9,1
Hostage Taking (Kidnapping),1,0,1
Bombing/Explosion,2,1,0
Hostage Taking (Kidnapping),,,1
Bombing/Explosion,0,0,1
Assassination,0,6,0
Facility/Infrastructure Attack,0,0,1
Bombing/Explosion,0,0,1
Unknown,1,0,1
Bombing/Explosion,0,2,1
Unknown,3,0,1
Armed Assault,1,0,1
Armed Assault,1,0,1
Armed Assault,5,6,1
Bombing/Explosion,0,2,1
Hostage Taking (Kidnapping),3,0,1
Armed Assault,1,1,1
Facility/Infrastructure Attack,0,0,1
Bombing/Explosion,1,0,0
Bombing/Explosion,1,3,1
Armed Assault,2,0,1
Bombing/Explosion,2,1,1
Assassination,5,3,1
Bombing/Explosion,3,2,1
Hostage Taking (Barricade Incident),3,0,1
Armed Assault,1,3,1
Facility/Infrastructure Attack,0,0,1
Hostage Taking (Kidnapping),,,1
Armed Assault,2,1,1
