attacktype1_txt,iyear,weaptype1,region_txt,nkill,nwound,nperps,success
Bombing/Explosion,2015,6,Middle East & North Africa,2.0,5.0,-99.0,1
Armed Assault,2015,9,Eastern Europe,0.0,1.0,1.0,1
Bombing/Explosion,2015,6,Middle East & North Africa,1.0,1.0,-99.0,1
Facility/Infrastructure Attack,2015,8,Western Europe,0.0,0.0,1.0,0
Bombing/Explosion,2015,6,Middle East & North Africa,,,-99.0,1
Bombing/Explosion,2015,6,Middle East & North Africa,3.0,8.0,-99.0,1
Bombing/Explosion,2015,6,Middle East & North Africa,1.0,6.0,-99.0,1
Bombing/Explosion,2015,6,Middle East & North Africa,1.0,6.0,-99.0,1
Bombing/Explosion,2015,6,Middle East & North Africa,2.0,10.0,-99.0,1
Assassination,2015,6,Middle East & North Africa,0.0,0.0,-99.0,0
Armed Assault,2015,5,Middle East & North Africa,11.0,,-99.0,0
Armed Assault,2015,6,Middle East & North Africa,0.0,0.0,1.0,0
Bombing/Explosion,2015,6,South Asia,0.0,0.0,-99.0,0
Assassination,2015,6,South Asia,1.0,3.0,-99.0,0
Armed Assault,2015,5,South Asia,1.0,1.0,2.0,1
Armed Assault,2015,5,Southeast Asia,3.0,0.0,-99.0,1
Bombing/Explosion,2015,6,South Asia,1.0,5.0,-99.0,1
Hostage Taking (Kidnapping),2015,5,South Asia,0.0,,7.0,1
Armed Assault,2015,5,Middle East & North Africa,3.0,2.0,-99.0,1
Bombing/Explosion,2015,6,South Asia,1.0,1.0,-99.0,1
Facility/Infrastructure Attack,2015,8,Middle East & North Africa,0.0,0.0,-99.0,1
Bombing/Explosion,2015,6,Eastern Europe,1.0,1.0,-99.0,1
Bombing/Explosion,2015,6,Eastern Europe,0.0,3.0,-99.0,1
Bombing/Explosion,2015,6,Eastern Europe,0.0,1.0,-99.0,1
Bombing/Explosion,2015,6,Eastern Europe,0.0,1.0,-99.0,1
Bombing/Explosion,2015,6,Eastern Europe,0.0,1.0,-99.0,1
Bombing/Explosion,2015,6,Eastern Europe,0.0,0.0,-99.0,1
Bombing/Explosion,2015,6,Eastern Europe,0.0,0.0,-99.0,1
Bombing/Explosion,2015,6,Eastern Europe,0.0,0.0,-99.0,1
Bombing/Explosion,2015,6,Eastern Europe,0.0,0.0,-99.0,1
Bombing/Explosion,2015,6,Eastern Europe,0.0,0.0,-99.0,1
Armed Assault,2015,6,Eastern Europe,0.0,0.0,-99.0,1
Armed Assault,2015,5,Eastern Europe,0.0,0.0,-99.0,1
Bombing/Explosion,2015,6,Sub-Saharan Africa,1.0,8.0,1.0,1
Armed Assault,2015,9,Sub-Saharan Africa,11.0,6.0,-99.0,1
Bombing/Explosion,2015,6,Eastern Europe,1.0,2.0,-99.0,1
Bombing/Explosion,2015,6,South Asia,0.0,1.0,-99.0,1
Armed Assault,2015,5,South Asia,1.0,0.0,10.0,1
Bombing/Explosion,2015,6,Middle East & North Africa,0.0,0.0,-99.0,0
Bombing/Explosion,2015,6,Middle East & North Africa,4.0,2.0,-99.0,1
Unknown,2015,13,Middle East & North Africa,,,-99.0,1
Bombing/Explosion,2015,6,Middle East & North Africa,13.0,18.0,-99.0,1
Armed Assault,2015,5,Sub-Saharan Africa,3.0,3.0,-99.0,1
Assassination,2015,6,Middle East & North Africa,0.0,2.0,-99.0,0
Armed Assault,2015,5,South Asia,0.0,2.0,-99.0,1
Armed Assault,2015,5,South Asia,5.0,1.0,-99.0,1
Armed Assault,2015,5,South Asia,2.0,0.0,2.0,1
Bombing/Explosion,2015,6,South Asia,0.0,0.0,1.0,0
Unknown,2015,13,Middle East & North Africa,3.0,0.0,-99.0,1
Hostage Taking (Kidnapping),2015,13,South Asia,0.0,0.0,-99.0,1
Hostage Taking (Kidnapping),2015,13,Middle East & North Africa,0.0,0.0,-99.0,1
Bombing/Explosion,2015,6,Middle East & North Africa,2.0,5.0,-99.0,1
Bombing/Explosion,2015,6,Middle East & North Africa,1.0,6.0,-99.0,1
Bombing/Explosion,2015,6,South Asia,1.0,0.0,-99.0,1
Bombing/Explosion,2015,6,Sub-Saharan Africa,1.0,2.0,-99.0,1
Bombing/Explosion,2015,6,Sub-Saharan Africa,1.0,10.0,-99.0,1
Armed Assault,2015,5,Sub-Saharan Africa,10.0,8.0,-99.0,1
Unknown,2015,13,Sub-Saharan Africa,1.0,0.0,-99.0,1
Bombing/Explosion,2015,6,South Asia,0.0,0.0,-99.0,0
