,targtype1_txt,attacktype1_txt,Time
0,Airports & Aircraft,Armed Assault,4
1,Airports & Aircraft,Bombing/Explosion,52
2,Airports & Aircraft,Hijacking,3
3,Airports & Aircraft,Unknown,5
4,Business,Armed Assault,76
5,Business,Assassination,4
6,Business,Bombing/Explosion,273
7,Business,Facility/Infrastructure Attack,31
8,Business,Hijacking,4
9,Business,Hostage Taking (Barricade Incident),8
10,Business,Hostage Taking (Kidnapping),97
11,Business,Unarmed Assault,2
12,Business,Unknown,11
13,Educational Institution,Armed Assault,54
14,Educational Institution,Assassination,6
15,Educational Institution,Bombing/Explosion,135
16,Educational Institution,Facility/Infrastructure Attack,70
17,Educational Institution,Hostage Taking (Barricade Incident),12
18,Educational Institution,Hostage Taking (Kidnapping),39
19,Educational Institution,Unarmed Assault,37
20,Educational Institution,Unknown,3
21,Food or Water Supply,Armed Assault,1
22,Food or Water Supply,Bombing/Explosion,10
23,Food or Water Supply,Facility/Infrastructure Attack,2
24,Food or Water Supply,Hijacking,1
25,Government (Diplomatic),Armed Assault,24
26,Government (Diplomatic),Assassination,2
27,Government (Diplomatic),Bombing/Explosion,110
28,Government (Diplomatic),Facility/Infrastructure Attack,2
29,Government (Diplomatic),Hijacking,3
30,Government (Diplomatic),Hostage Taking (Kidnapping),14
31,Government (Diplomatic),Unknown,1
32,Government (General),Armed Assault,325
33,Government (General),Assassination,503
34,Government (General),Bombing/Explosion,660
35,Government (General),Facility/Infrastructure Attack,51
36,Government (General),Hijacking,1
37,Government (General),Hostage Taking (Barricade Incident),8
38,Government (General),Hostage Taking (Kidnapping),185
39,Government (General),Unarmed Assault,2
40,Government (General),Unknown,100
41,Journalists & Media,Armed Assault,12
42,Journalists & Media,Assassination,24
43,Journalists & Media,Bombing/Explosion,25
44,Journalists & Media,Facility/Infrastructure Attack,4
45,Journalists & Media,Hostage Taking (Barricade Incident),2
46,Journalists & Media,Hostage Taking (Kidnapping),20
47,Journalists & Media,Unarmed Assault,2
48,Maritime,Facility/Infrastructure Attack,1
49,Military,Armed Assault,699
50,Military,Assassination,25
51,Military,Bombing/Explosion,1232
52,Military,Facility/Infrastructure Attack,34
53,Military,Hostage Taking (Barricade Incident),2
54,Military,Hostage Taking (Kidnapping),99
55,Military,Unarmed Assault,5
56,Military,Unknown,529
57,NGO,Armed Assault,39
58,NGO,Assassination,4
59,NGO,Bombing/Explosion,27
60,NGO,Facility/Infrastructure Attack,4
61,NGO,Hostage Taking (Barricade Incident),1
62,NGO,Hostage Taking (Kidnapping),84
63,NGO,Unarmed Assault,1
64,NGO,Unknown,3
65,Other,Armed Assault,2
66,Other,Bombing/Explosion,6
67,Police,Armed Assault,1433
68,Police,Assassination,276
69,Police,Bombing/Explosion,1427
70,Police,Facility/Infrastructure Attack,58
71,Police,Hijacking,1
72,Police,Hostage Taking (Barricade Incident),2
73,Police,Hostage Taking (Kidnapping),229
74,Police,Unarmed Assault,6
75,Police,Unknown,720
76,Private Citizens & Property,Armed Assault,448
77,Private Citizens & Property,Assassination,144
78,Private Citizens & Property,Bombing/Explosion,1672
79,Private Citizens & Property,Facility/Infrastructure Attack,40
80,Private Citizens & Property,Hijacking,6
81,Private Citizens & Property,Hostage Taking (Barricade Incident),4
82,Private Citizens & Property,Hostage Taking (Kidnapping),368
83,Private Citizens & Property,Unarmed Assault,21
84,Private Citizens & Property,Unknown,218
85,Religious Figures/Institutions,Armed Assault,80
86,Religious Figures/Institutions,Assassination,26
87,Religious Figures/Institutions,Bombing/Explosion,104
88,Religious Figures/Institutions,Facility/Infrastructure Attack,25
89,Religious Figures/Institutions,Hostage Taking (Barricade Incident),1
90,Religious Figures/Institutions,Hostage Taking (Kidnapping),16
91,Religious Figures/Institutions,Unknown,3
92,Telecommunication,Armed Assault,2
93,Telecommunication,Bombing/Explosion,24
94,Telecommunication,Facility/Infrastructure Attack,42
95,Telecommunication,Hostage Taking (Barricade Incident),1
96,Telecommunication,Hostage Taking (Kidnapping),8
97,Telecommunication,Unarmed Assault,1
98,Telecommunication,Unknown,1
99,Terrorists/Non-State Militia,Armed Assault,43
100,Terrorists/Non-State Militia,Assassination,33
101,Terrorists/Non-State Militia,Bombing/Explosion,37
102,Terrorists/Non-State Militia,Facility/Infrastructure Attack,4
103,Terrorists/Non-State Militia,Hostage Taking (Kidnapping),13
104,Terrorists/Non-State Militia,Unarmed Assault,1
105,Terrorists/Non-State Militia,Unknown,53
106,Tourists,Armed Assault,2
107,Tourists,Bombing/Explosion,1
108,Tourists,Hostage Taking (Kidnapping),1
109,Transportation,Armed Assault,11
110,Transportation,Bombing/Explosion,123
111,Transportation,Facility/Infrastructure Attack,10
112,Transportation,Hijacking,2
113,Transportation,Hostage Taking (Barricade Incident),1
114,Transportation,Hostage Taking (Kidnapping),11
115,Transportation,Unknown,7
116,Unknown,Armed Assault,2
117,Unknown,Assassination,1
118,Unknown,Bombing/Explosion,839
119,Unknown,Facility/Infrastructure Attack,2
120,Unknown,Hostage Taking (Kidnapping),1
121,Unknown,Unknown,15
122,Utilities,Armed Assault,3
123,Utilities,Bombing/Explosion,23
124,Utilities,Facility/Infrastructure Attack,17
125,Utilities,Unknown,2
126,Violent Political Party,Armed Assault,4
127,Violent Political Party,Assassination,19
128,Violent Political Party,Bombing/Explosion,4
